Word,Definition,Pronunciation,Grammar,Example
cat,n. 猫，猫科动物,/kæt/,"cat and mouse, fat cat, cat nap, cat's paw",The cat chased the mouse around the house. 猫在房子里追老鼠。
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）",/ˈkætəlɒɡ/,"catalog of, catalog as, in the catalog, compile a catalog",The library has a catalog of all its books. 图书馆有所有书籍的目录。
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录",/ˈkætəlɒɡ/,"catalogue of, catalogue as, in the catalogue, university catalogue",She checked the catalogue to find the book. 她查阅目录以找到那本书。
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住",/kætʃ/,"catch up with, catch a cold, catch the bus, catch on",He tried to catch the ball but missed it. 他试图接住球但没接住。
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人,/ˈkætl/,"herd of cattle, cattle farm, raise cattle, cattle breeding",The farmer has many cattle on his farm. 农场主在他的农场里有许多牛。
cause,"n. 原因；事业；目标
vt. 引起；使遭受",/kɔːz/,"cause of, cause and effect, for a cause, cause trouble",The heavy rain was the cause of the flood. 大雨是洪水的原因。
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴",/keɪv/,"cave in, explore a cave, cave dwelling, cave entrance",They explored the dark cave with flashlights. 他们用手电筒探索了黑暗的洞穴。
CD,abbr. 光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）,/ˌsiːˈdiː/,"play a CD, burn a CD, CD player, CD collection",I bought a new CD of my favorite singer. 我买了一张我最喜欢歌手的新CD。
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合",/ˈkɒmpækt/,"compact disc, compact car, compact agreement, make compact",The compact car is easy to park in the city. 紧凑型汽车在城市里容易停车。
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束",/siːs/,"cease fire, cease to exist, cease operations, without cease",The rain ceased and the sun came out. 雨停了，太阳出来了。
ceiling,n. 天花板；上限,/ˈsiːlɪŋ/,"hit the ceiling, ceiling price, on the ceiling, raise the ceiling",There is a beautiful painting on the ceiling. 天花板上有一幅美丽的画。
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式",/ˈselɪbreɪt/,"celebrate a birthday, celebrate success, celebrate with, celebrate an event",We will celebrate the New Year with a party. 我们将用派对庆祝新年。
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中",/sel/,"cell phone, cell division, solar cell, prison cell",The scientist studied the plant cell under a microscope. 科学家在显微镜下研究了植物细胞。
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢",/sɪˈment/,"cement mixer, cement factory, cement relationship, in cement",They used cement to build the foundation of the house. 他们用水泥建造了房子的地基。
cemetery,n. 墓地；公墓,/ˈsemətri/,"in the cemetery, cemetery gate, visit a cemetery, cemetery plot",The old cemetery is located on a hill. 古老的墓地位于一座小山上。
cent,n. 分；一分的硬币；森特（等于半音程的百分之一）,/sent/,"per cent, not worth a cent, save every cent, cent coin",The candy costs only ten cents. 这颗糖果只卖十美分。
centigrade,adj. 摄氏的； 摄氏温度的；百分度的,/ˈsentɪɡreɪd/,"centigrade thermometer, degrees centigrade, centigrade scale, in centigrade",The temperature today is 25 degrees centigrade. 今天的温度是25摄氏度。
centimetre,n. 厘米；公分,/ˈsentɪmiːtə(r)/,"centimetre ruler, in centimetres, measure in centimetres, centimetre scale",The pencil is 15 centimetres long. 这支铅笔长15厘米。
centimeter,n.  厘米； 公分,/ˈsentɪmiːtər/,"centimeter ruler, in centimeters, measure in centimeters, centimeter scale",She measured the cloth in centimeters. 她用厘米测量了布料。
central,"n. 电话总机
adj. 中心的；主要的；中枢的",/ˈsentrəl/,"central government, central role, central idea, central location",The central park is a popular place for picnics. 中央公园是野餐的热门地点。
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心",/ˈsentə(r)/,"centre of attention, shopping centre, centre on, in the centre",The city centre is always busy with people. 市中心总是人来人往。
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心",/ˈsentər/,"center on, at the center of, center around, center oneself",The city center is always bustling with activity. 市中心总是熙熙攘攘。
century,n. 世纪，百年；（板球）一百分,/ˈsentʃəri/,"in the 21st century, for centuries, century-old, turn of the century",The 20th century saw many technological advancements. 20世纪见证了许多技术进步。
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼,/ˈserəˌmoʊni/,"opening ceremony, wedding ceremony, without ceremony, stand on ceremony",The graduation ceremony was held in the school auditorium. 毕业典礼在学校礼堂举行。
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个",/ˈsɜːrtən/,"certain of, make certain, a certain amount, for certain",I am certain that he will succeed in the exam. 我确信他会在考试中成功。
certainly,adv. 当然；行（用于回答）；必定,/ˈsɜːrtənli/,"certainly not, certainly yes, almost certainly, certainly enough","Certainly, I can help you with your homework. 当然，我可以帮你做作业。"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准",/sərˈtɪfɪkət/,"birth certificate, certificate of completion, medical certificate, certificate program",She received a certificate for completing the course. 她收到了完成课程的证书。
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住",/tʃeɪn/,"chain reaction, chain store, in chains, break the chain",The dog was tied to a chain in the yard. 狗被拴在院子里的链子上。
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职",/tʃer/,"take a chair, chair a meeting, armchair, rocking chair",Please take a chair and make yourself comfortable. 请坐椅子，让自己舒服些。
chairman,n. 主席，会长；董事长,/ˈtʃermən/,"chairman of the board, acting chairman, former chairman, elect a chairman",The chairman announced the start of the meeting. 主席宣布会议开始。
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状",/tʃɔːk/,"chalk up, chalk and talk, chalk dust, chalk it up to",The teacher wrote the lesson on the chalkboard with chalk. 老师用粉笔在黑板上写课程内容。
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑",/ˈtʃælɪndʒ/,"face a challenge, challenge someone to, take up the challenge, challenge authority",He accepted the challenge to climb the mountain. 他接受了爬山的挑战。
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护",/ˈtʃæmpiən/,"world champion, champion for, defend champion, reigning champion",She is the champion of the swimming competition. 她是游泳比赛的冠军。
championship,n. 锦标赛；冠军称号；冠军的地位,/ˈtʃæmpiənʃɪp/,"win the championship, championship game, national championship, defend championship",Our team won the basketball championship last year. 我们队去年赢得了篮球锦标赛。
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现",/tʃæns/,"by chance, take a chance, chance of, chance upon",I met an old friend by chance at the supermarket. 我在超市偶然遇到了一位老朋友。
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换",/tʃeɪndʒ/,"change into, change one's mind, small change, change for the better",She decided to change her hairstyle for the new year. 她决定为新的一年改变发型。
changeable,adj. 无常的；可改变的；易变的；不定的,/ˈtʃeɪndʒəbl/,"changeable weather, changeable mood, highly changeable, changeable conditions",The weather in spring is often changeable. 春天的天气常常变化无常。
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道",/ˈtʃænl/,"English Channel, channel one's energy, change the channel, communication channel",We watched the news on Channel 5. 我们在5频道看新闻。
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节",/ˈtʃæptər/,"chapter and verse, new chapter, close a chapter, chapter heading",Please read the first chapter of the book for homework. 请阅读这本书的第一章作为作业。
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征",/ˈkærɪktər/,"in character, out of character, main character, character development",His kind character makes him popular among friends. 他善良的性格使他在朋友中很受欢迎。
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的",/ˌkærɪktəˈrɪstɪk/,"characteristic of, key characteristic, distinguishing characteristic, characteristic feature",Patience is a characteristic of good teachers. 耐心是好老师的一个特征。
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上",/tʃɑːrdʒ/,"in charge of, take charge, charge sb. with, free of charge","He is in charge of the project, ensuring everything runs smoothly. 他负责这个项目，确保一切顺利进行。"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物,/ˈtʃærəti/,"charity event, charity work, out of charity, charity organization",She volunteers at a charity organization every weekend. 她每个周末都在一个慈善组织做志愿者。
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒",/tʃɑːrm/,"work like a charm, charm sb. into doing, personal charm, good luck charm",His personal charm made him popular among his classmates. 他的个人魅力使他在同学中很受欢迎。
charming,"adj. 迷人的；可爱的
v. 使陶醉（charm的现在分词）",/ˈtʃɑːrmɪŋ/,"charming smile, charming personality, charming place, find sth. charming",She has a charming smile that lights up the room. 她有一个迷人的微笑，能照亮整个房间。
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展",/tʃɑːrt/,"bar chart, flow chart, chart the progress, on the chart",The teacher used a bar chart to explain the data clearly. 老师用柱状图清晰地解释了数据。
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑",/tʃeɪs/,"chase after, wild goose chase, chase away, in hot pursuit",The police chased after the thief through the crowded streets. 警察在拥挤的街道上追赶小偷。
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈",/tʃæt/,"chat with, chat about, online chat, have a chat",They often chat about their school life during breaks. 他们经常在休息时聊学校生活。
cheap,"adj. 便宜的；小气的；不值钱的
adv. 便宜地",/tʃiːp/,"cheap price, feel cheap, cheap and cheerful, on the cheap","This book is sold at a cheap price, so many students buy it. 这本书售价便宜，所以很多学生购买。"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊",/tʃiːt/,"cheat on, cheat sb. out of, cheat in exams, cheat sheet",He was caught cheating in the exam and faced serious consequences. 他在考试中作弊被抓，面临严重后果。
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾",/tʃek/,"check in, check out, check up on, double-check",Please check your answers before handing in the paper. 请在交卷前检查你的答案。
checkout,n. 检验；签出；结账台；检出,/ˈtʃekaʊt/,"checkout counter, self-checkout, checkout time, at checkout",We paid for our groceries at the checkout counter. 我们在结账台支付了杂货费用。
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼",/tʃiːk/,"cheek by jowl, turn the other cheek, rosy cheeks, cheek bone",Her rosy cheeks showed she was healthy and happy. 她红润的脸颊显示她健康快乐。
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴",/tʃɪr/,"cheer up, cheer for, cheer leader, three cheers",The crowd cheered for their team during the match. 人群在比赛中为他们的队伍欢呼。
cheerful,adj. 快乐的；愉快的；高兴的,/ˈtʃɪrfl/,"cheerful mood, cheerful person, cheerful voice, look cheerful","She always has a cheerful mood, which inspires others. 她总是心情愉快，这激励了他人。"
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止",/tʃiːz/,"cheese and crackers, big cheese, cheese off, say cheese",Say cheese! The photographer is about to take a picture. 说“茄子”！摄影师即将拍照。
chemical,"n. 化学制品，化学药品
adj. 化学的",/ˈkemɪkl/,"chemical reaction, chemical substance, chemical plant, chemical analysis",The chemical reaction produced a lot of heat and light. 这个化学反应产生了大量的热和光。
chemist,n. 化学家；化学工作者；药剂师；炼金术士,/ˈkemɪst/,"pharmaceutical chemist, chemist's shop, research chemist, qualified chemist","He works as a chemist in a laboratory, developing new medicines. 他在实验室担任化学家，开发新药物。"
chemistry,n. 化学；化学过程,/ˈkemɪstri/,"organic chemistry, chemistry lab, chemistry between, study chemistry",She decided to study chemistry because she loves experiments. 她决定学习化学，因为她喜欢实验。
cheque,n. 支票,/tʃek/,"write a cheque, cheque book, pay by cheque, bounce a cheque",He wrote a cheque to pay for the new furniture. 他开了一张支票来支付新家具的费用。
chess,n. 国际象棋，西洋棋,/tʃes/,"play chess, chess board, chess piece, chess match",They often play chess together to improve their strategic thinking. 他们经常一起下国际象棋来提高战略思维。
chest,n. 胸，胸部；衣柜；箱子；金库,/tʃest/,"chest of drawers, chest pain, treasure chest, on one's chest",He felt a sharp pain in his chest after running. 跑步后，他感到胸部一阵剧痛。
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼",/tʃuː/,"chew over, chew the fat, chew out, chew on something",She took time to chew over the problem before making a decision. 她花时间仔细思考这个问题后才做决定。
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的",/ˈtʃɪkɪn/,"chicken out, chicken soup, chicken feed, spring chicken",Don't be a chicken; just try the new roller coaster. 别当胆小鬼，试试那个新过山车吧。
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地",/tʃiːf/,"chief executive officer (CEO), in chief, chief concern, chief editor",The chief reason for his success is hard work. 他成功的主要原因是努力工作。
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子,/tʃaɪld/,"child's play, only child, child labor, child development",Every child deserves a happy and safe childhood. 每个孩子都应该拥有一个快乐安全的童年。
childbirth,n. 分娩,/ˈtʃaɪldbɜːrθ/,"natural childbirth, childbirth education, childbirth complications, during childbirth",She attended a class on natural childbirth to prepare for the baby. 她参加了一个自然分娩课程来为宝宝做准备。
childhood,n. 童年时期；幼年时代,/ˈtʃaɪldhʊd/,"early childhood, childhood memories, childhood friend, in one's childhood",He often recalls his happy childhood spent in the countryside. 他经常回忆起在乡村度过的快乐童年。
childish,adj. 幼稚的，孩子气的,/ˈtʃaɪldɪʃ/,"childish behavior, childish games, childish attitude, seem childish",It's childish to argue over such a small matter. 为这样的小事争吵很幼稚。
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷",/tʃɪl/,"chill out, catch a chill, chill factor, send chills down one's spine","After the long hike, they sat by the fire to chill out. 长途徒步后，他们坐在火边放松一下。"
chimney,n. 烟囱,/ˈtʃɪmni/,"chimney sweep, chimney stack, up the chimney, chimney corner",Smoke rose from the chimney of the old house. 烟从老房子的烟囱里升起。
china,,/ˈtʃaɪnə/,"made in China, China town, China tea, China rose",This porcelain vase is a fine example of traditional China. 这个瓷花瓶是中国传统工艺的精品。
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂",/tʃɪp/,"chip in, chip off the old block, computer chip, potato chip",Everyone chipped in to buy a gift for the teacher. 每个人都凑钱给老师买了一份礼物。
chocolate,"n. 巧克力，巧克力糖；巧克力色
adj. 巧克力色的；巧克力口味的",/ˈtʃɒklət/,"chocolate bar, chocolate cake, hot chocolate, dark chocolate",She loves to eat a piece of dark chocolate after dinner. 她喜欢在晚餐后吃一块黑巧克力。
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的",/tʃɔɪs/,"make a choice, first choice, choice words, by choice",You have the choice to study abroad or stay home. 你可以选择出国留学或留在国内。
choose,"vt. 选择，决定
vi. 选择，挑选",/tʃuːz/,"choose between, choose from, choose to do something, pick and choose",He had to choose between two job offers. 他必须在两个工作机会之间做出选择。
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍",/tʃɒp/,"chop down, chop up, chop off, pork chop",He used an axe to chop wood for the fire. 他用斧头劈柴生火。
chopsticks,n. 筷子,/ˈtʃɒpstɪks/,"use chopsticks, a pair of chopsticks, chopsticks skills, wooden chopsticks",It takes practice to use chopsticks properly. 正确使用筷子需要练习。
Christian,"n. 基督徒，信徒
adj. 基督教的；信基督教的",/ˈkrɪstʃən/,"Christian name, Christian faith, Christian church, Christian values",Many people in this country follow the Christian religion. 这个国家的许多人信奉基督教。
Christmas,n. 圣诞节；圣诞节期间,/ˈkrɪsməs/,"Christmas Eve, Christmas tree, Christmas card, Merry Christmas",We decorate the Christmas tree with lights and ornaments. 我们用灯和装饰品装饰圣诞树。
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式",/tʃɜːtʃ/,"go to church, church service, church bell, church wedding",They go to church every Sunday morning. 他们每个星期天早上去教堂。
cigar,n. 雪茄,/sɪˈɡɑːr/,"light a cigar, smoke a cigar, cigar smoke, cigar box",He lit a cigar after dinner and enjoyed the quiet evening. 晚餐后他点燃了一支雪茄，享受着宁静的夜晚。
cigarette,n. 香烟；纸烟,/ˌsɪɡəˈret/,"smoke a cigarette, cigarette smoke, cigarette lighter, pack of cigarettes",Smoking cigarettes is harmful to your health. 吸烟有害健康。
cinema,n. 电影；电影院；电影业，电影制作术,/ˈsɪnəmə/,"go to the cinema, cinema ticket, cinema screen, at the cinema",We decided to go to the cinema to watch the latest movie. 我们决定去电影院看最新的电影。
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行",/ˈsɜːrkl/,"circle around, in a circle, circle of friends, draw a circle",The children sat in a circle and played games together. 孩子们围坐成一圈，一起玩游戏。
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的",/ˈsɜːrkjələr/,"circular motion, circular argument, circular letter, circular shape",The company sent out a circular to all employees about the new policy. 公司向所有员工发送了一份关于新政策的通知。
circumstance,n. 环境，情况；事件；境遇,/ˈsɜːrkəmstæns/,"under the circumstances, in certain circumstances, circumstance of the case, due to circumstances",Under no circumstances should you give up on your dreams. 在任何情况下你都不应该放弃你的梦想。
citizen,n. 公民；市民；老百姓,/ˈsɪtɪzn/,"citizen of the world, law-abiding citizen, citizen's rights, ordinary citizen","As a citizen, it is important to obey the laws of the country. 作为公民，遵守国家的法律很重要。"
city,"n. 城市，都市
adj. 城市的；都会的",/ˈsɪti/,"city center, city life, city hall, big city",New York is a bustling city with millions of people. 纽约是一个拥有数百万人口的繁华城市。
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的,/ˈsɪvl/,"civil rights, civil war, civil servant, civil engineering",Civil rights are fundamental to a democratic society. 公民权利是民主社会的基础。
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的",/sɪˈvɪliən/,"civilian population, civilian clothes, civilian life, civilian casualties","After retiring from the army, he returned to civilian life. 从军队退役后，他回到了平民生活。"
civilization,n. 文明；文化,/ˌsɪvələˈzeɪʃn/,"ancient civilization, modern civilization, civilization and culture, decline of civilization",The ancient Egyptian civilization left behind many impressive monuments. 古埃及文明留下了许多令人印象深刻的纪念碑。
civilize,"vt. 使文明；教化；使开化
vi. 变得文明",/ˈsɪvəlaɪz/,"civilize a society, civilize the people, civilize through education, civilize and enlighten",Education helps to civilize people and promote social progress. 教育有助于教化人们并促进社会进步。
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求",/kleɪm/,"claim responsibility, claim to fame, insurance claim, claim victory",He made a claim for compensation after the accident. 事故后他提出了赔偿要求。
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上",/klæp/,"clap hands, clap for someone, clap of thunder, give a clap",The audience began to clap loudly after the performance. 表演结束后，观众开始大声鼓掌。
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）",/klæs/,"in class, class discussion, middle class, first class",She is the top student in her class and always gets high grades. 她是班上的尖子生，总是取得高分。
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的",/ˈklæsɪk/,"classic novel, classic style, classic example, classic car","""Pride and Prejudice"" is a classic novel that many people enjoy reading. 《傲慢与偏见》是一部许多人喜欢阅读的经典小说。"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的",/ˈklæsɪkl/,"classical music, classical literature, classical education, classical architecture",He enjoys listening to classical music while studying. 他喜欢在学习时听古典音乐。
classify,vt. 分类；分等,/ˈklæsɪfaɪ/,"classify into categories, classify as, classify information, classify by type",Librarians classify books according to their subjects. 图书管理员根据主题对书籍进行分类。
classmate,n. 同班同学,/ˈklæsmeɪt/,"old classmate, classmate from school, classmate reunion, help a classmate",I met an old classmate from high school at the supermarket yesterday. 昨天我在超市遇到了一个高中时的老同学。
classroom,n. 教室,/ˈklæsruːm/,"in the classroom, classroom management, classroom activities, classroom environment",The teacher asked the students to be quiet in the classroom. 老师要求学生们在教室里保持安静。
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理",/kleɪ/,"clay soil, clay pot, clay sculpture, clay model",The artist used clay to create a beautiful sculpture. 这位艺术家用粘土创作了一件美丽的雕塑。
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地",/kliːn/,"clean up, clean and tidy, clean energy, clean sweep",Please clean your room before the guests arrive. 请在客人到来之前打扫干净你的房间。
cleaner,n.  清洁剂；清洁工；干洗店；干洗商；洗洁器,/ˈkliːnər/,"window cleaner, vacuum cleaner, dry cleaner, cleaning product",My mother works as a cleaner in a hospital. 我母亲在一家医院当清洁工。
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地",/klɪər/,"clear up, clear away, clear the air, clear one's mind","The sky is clear today, so we can go for a picnic. 今天天空晴朗，所以我们可以去野餐。"
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员",/klɜːrk/,"bank clerk, office clerk, sales clerk, clerk of the court",The clerk at the store helped me find the right size. 商店的店员帮我找到了合适的尺码。
clever,"adj. 聪明的；机灵的；熟练的
",/ˈklevər/,"clever idea, clever trick, clever at, clever with",She is a clever student who always gets good grades. 她是一个聪明的学生，总是取得好成绩。
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声",/klɪk/,"click on, click the button, click through, click rate",Click the link to download the file. 点击链接下载文件。
cliff,n. 悬崖；绝壁,/klɪf/,"cliff edge, cliff face, cliff top, cliff diving","They stood at the edge of the cliff, looking at the sea below. 他们站在悬崖边，看着下面的海。"
climate,n. 气候；风气；思潮；风土,/ˈklaɪmət/,"climate change, tropical climate, political climate, climate control",Climate change is a serious issue that affects the whole world. 气候变化是一个影响全世界的严重问题。
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升",/klaɪm/,"climb up, climb down, climb the ladder, climb a mountain",We plan to climb the mountain early in the morning. 我们计划一大早去爬山。
climber,n. 登山者；攀缘植物；尽力改善自己社会地位的人,/ˈklaɪmər/,"mountain climber, rock climber, social climber, professional climber",The climber reached the summit after a difficult journey. 登山者在艰难的旅程后到达了山顶。
clinic,n. 临床；诊所,/ˈklɪnɪk/,"health clinic, dental clinic, outpatient clinic, clinic visit",She went to the clinic for a regular check-up. 她去诊所做定期检查。
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间",/klɒk/,"clock in, clock out, alarm clock, clock tower",The clock on the wall shows it's time for lunch. 墙上的钟显示是午餐时间了。
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制",/kləʊn/,"clone technology, human clone, clone animal, clone cell",Scientists have successfully cloned a sheep. 科学家们已经成功克隆了一只羊。
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地",/kləʊz/,"close down, close up, close friend, close the door",Please close the window to keep the cold air out. 请关上窗户以防冷空气进来。
cloth,"n. 布；织物；桌布
adj. 布制的",/klɒθ/,"cloth bag, table cloth, cotton cloth, cloth material",She wiped the table with a clean cloth. 她用一块干净的布擦了桌子。
clothes,n. 衣服,/kləʊðz/,"clothes line, clothes shop, clothes dryer, clothes hanger",He put on his clothes quickly and left for school. 他迅速穿上衣服，然后去上学了。
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣",/ˈkləʊðɪŋ/,"clothing store, protective clothing, clothing industry, clothing brand",The clothing in this store is very fashionable. 这家商店的服装非常时尚。
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布",/klaʊd/,"cloud cover, cloud computing, rain cloud, cloud formation","A dark cloud appeared in the sky, indicating rain. 天空中出现了乌云，预示着要下雨。"
cloudy,adj. 多云的；阴天的；愁容满面的,/ˈklaʊdi/,"cloudy day, cloudy sky, cloudy weather, cloudy with a chance","It's a cloudy day, so we might not go to the beach. 今天是阴天，所以我们可能不去海滩了。"
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部",/klʌb/,"join a club, club together, golf club, night club",He decided to join the school's drama club to improve his acting skills. 他决定加入学校的戏剧俱乐部来提高他的表演技巧。
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况",/kluː/,"clue in, have no clue, give a clue, follow the clues",The detective found a clue that helped solve the mystery. 侦探找到了一个有助于解开谜团的线索。
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）",/kəʊtʃ/,"coach sb. in, football coach, travel by coach, life coach",The coach trained the team hard for the upcoming competition. 教练为即将到来的比赛严格训练了队伍。
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤",/kəʊl/,"coal mine, coal industry, burn coal, coal-fired",Coal is a traditional energy source used in many power plants. 煤是许多发电厂使用的传统能源。
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行",/kəʊst/,"coast along, coast guard, off the coast, coastal area",They enjoyed a walk along the coast during their vacation. 他们在假期中沿着海岸散步。
coat,"n. 外套
vt. 覆盖…的表面",/kəʊt/,"coat of paint, winter coat, coat with, raincoat",She wore a warm coat to protect herself from the cold wind. 她穿了一件暖和的外套来抵御寒风。
cock,"n. 公鸡；龙头；雄鸟；头目
vt. 使竖起；使耸立；使朝上
vi. 翘起；竖起；大摇大摆",/kɒk/,"cock a gun, cock of the walk, cock up, water cock","The cock crowed early in the morning, waking everyone up. 公鸡在清晨啼叫，把大家都吵醒了。"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码",/kəʊd/,"code of conduct, break the code, area code, dress code",Students must follow the school's dress code during classes. 学生在课堂上必须遵守学校的着装规定。
coffee,n. 咖啡；咖啡豆；咖啡色,/ˈkɒfi/,"coffee break, coffee shop, black coffee, instant coffee",She drinks a cup of coffee every morning to start her day. 她每天早上喝一杯咖啡来开始她的一天。
